version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Group22,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Baseline run,Initial default prompt and tools,case_accuracy,0.0,0.70,runs/v0_B_base_openrouter_20260729T151336264806.json
v1,Group22,system_prompt.md,v1+p7c858946201e+t6cdb53d5d7b8,7c858946201e132650cecd65ccc04dc5a6efe930466d64e18334e1177cfe5f8e,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Fix out-of-scope and clarify boundary,Adding explicit routing rules and clarify for missing URL/account improves accuracy,case_accuracy,0.70,0.75,runs/v1_B_base_openrouter_20260729T154809950796.json
v2,Group22,system_prompt.md + tools.yaml,v2+pa8b248960754+t772782a5f26b,a8b2489607544ceda6dcaa4ab5c9b63d1e634fa17b10a39c76253b6f73414e3a,772782a5f26bbd4e23dde77cf5b4ac8386f21549ee8386bc3f400915e00925f5,Fix clarify response_type & news query rules,Enforcing response_type required in tools.yaml and query topic rules in prompt fixes missing handle and news routing,case_accuracy,0.75,0.90,runs/v2_B_base_openrouter_20260729T162820218051.json
v3,Group22,system_prompt.md,v3+p6535499b7574+t772782a5f26b,6535499b757404494ebcebc00bce4fe10cf4a09101ffc61c02ebcecf05bf9fa4,772782a5f26bbd4e23dde77cf5b4ac8386f21549ee8386bc3f400915e00925f5,Fix multi-turn tool switching and missing URL/send boundaries,Explicit instructions for clarify response_type and tool dropping on switch fixes M06 and achieves 20/20,case_accuracy,0.90,1.00,runs/v3_B_base_openrouter_20260729T163838890677.json
